 ,Area,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,2.502,3.557,500,627,64.385,0.94
2,2.363,3.512,442,634,43.479,0.926
3,2.345,2.861,507,283.5,151.074,1.121
4,2.241,3.099,507,338.75,134.569,1.095
5,2.623,3.1,438.875,418.125,23.159,1.201
6,2.31,2.846,315.833,526.667,171.119,0.989
7,3.057,3.414,411,849.125,22.109,1.138
8,2.102,2.616,332,869.833,60.852,0.976
9,2.866,3.523,1091.25,272.5,97.524,1.144
10,2.641,3.074,1037.5,285.25,160.594,1.084
11,2.519,2.98,622.167,212.167,18.034,1.135
12,3.196,3.53,125.167,839.333,69.986,1.295
13,2.085,2.748,25.833,657.5,140.839,0.969
14,2.345,3.193,695,641.5,121.065,0.916
15,1.946,3.413,715,676,105.11,0.834
16,1.286,2.949,741,673.5,108.232,0.705
17,2.033,3.896,627,685.25,125.707,0.804
18,2.206,2.479,571.333,791.333,150.255,1.219
19,2.467,2.621,597.333,907.333,39.56,1.304
20,2.38,2.548,288.25,272.25,130.28,1.095
21,1.65,3.078,1079.75,515,111.346,0.726
22,2.675,3.431,440.333,476.667,140.194,1.129
23,2.241,3.118,294.75,1024.5,74.055,0.908
24,1.563,2.391,642.75,369,119.745,1.029
25,1.859,2.992,400.25,83,36.491,0.835
26,1.529,2.411,194.667,75.167,149.931,0.8
